Headlines,Labels
super six: top chart pick for may 28,0
"buy icici bank, hero motocorp, thomas cook: sandeep wagle",1
honda aim to overtake hero motocorp in india by 2020,1
"first cut | hero motocorp q3fy19: margin under pressure, subdue demand outlook near term",1
"buy hero moto, l&t finance, torrent power; sell apollo hospitals, marico: mitessh thakkar",1
"hero honda sell 3,15,458 two-wheelers in january 09",0
hero motocorp tie up with italy's engines engineer,1
auto sector expect to report mix bag of earn in q1,1
hold hero motocorp; target of rs 3385: centrum,1
air sahara win cricket team sponsorship,1
job for 50mn youth in 5yrs a priority for new govt: clsa,1
book profit in hero honda on every upside: khandwala,0
hero motocorp q4 pat see up 31.5% yoy to rs. 940 cr: hdfc securities,1
margins better in forge business: munjal auto,1
hold hero honda with target of rs 880: bhambwani,1
hero motocorp may touch rs 1600-1625: baliga,0
look at high double digit sales in h2: hero honda,1
hero honda set up spv to buy honda stake: source,1
hero group-daimler ink jv for cv space,0
"avoid hero motocorp, say sudarshan sukhani",0
kishore biyani's budget wish: incentivise consumption,0
buy hero motocorp at lower levels: dilip bhat,1
accumulate hero honda; target of rs 1870: emkay,1
two-wheeler export on the fast lane,0
"prefer bajaj auto, hero honda to tvs motor",1
tulsian's take on 2-wheeler cos & orient paper's demerger,1
bajaj auto april sales down 10%; see higher may sales,0
"analysts cut hero moto estimates, say road ahead tough",0
auto cos unlikely to gain much from excise duty cut: citi,1
"hold hero honda, target of rs 1106: reliance money",0
hero motocorp down 2% ahead of q4 earn,0
bull's eye: stock to buy today,0
"hero motocorp sales up 31.7% in january at 6,41,501 units",0
hold hero motocorp; target of rs 2505: icicidirect,1
"buy indusind bank, bajaj auto, hero motocorp: sudarshan sukhani",1
hero honda may go down to rs 650,1
"enter hero motocorp, advise sahil kapoor",1
super six trade ideas for the day,0
bajaj auto recall 'kristal' to rectify issue,0
"buy hero motocorp, advise sudarshan sukhani",0
not consider any price hike now: hero honda,0
prefer hero honda: vijay,1
hero motocorp form its wolly-owned subsidiary in colombia,1
how to trade auto stock post q3: centrum cap advise,1
hero honda bullish on premium segment,1
stay away from hero honda at current level,1
"hero motocorp good bet, say phani sekhar",1
"hero motocorp's q1 result on august 05, 2014",1
hero motocorp to invest usd 463m in 2 new plant,0
buy hero honda at current level: shanbhag,1
"hero motocorp sales rise 16% to 7,34,668 units in october",0
prefer maruti suzuki to hero honda: pn vijay,1
houseviews: four interest stock buy this season,1
"maruti suzuki, eicher motor top picks: dipan mehta",1
dlf to be ipl's title sponsor for 5 yrs,1
hero motocorp report 11% fall in sales,0
hero motocorp best bet: mehraboon irani,1
buy hero honda motors: p-sec,0
"hero honda a marketperformer, target rs 1737: karvy",1
don't exit hero honda motor,1
super six: top chart pick for november 27,1
"buy tata motors, hero moto: manish hathiramani",1
hero motocorp: pawan munjal on global growth plan,1
hero honda post 6 lakh-plus units in retail sales in oct,0
hero honda q2 profit up 50% at rs 306.3 cr,1
here be top 10 stock to focus on january 08,1
mehra positive on m&m,1
hero honda world no. 1 for 6 years in a row,1
"hero q2 profit jump 28% to rs 1004cr on ebitda, volume growth",1
buy hero motocorp; target of rs 3518: motilal oswal,1
super 6 trade stock for short term gain,1
auto cos to clock modest growth in q4fy13: angel broking,1
"sell bajaj auto, hero motocorp: rajat bose",1
will clock around 4.4m units in 2010: hero honda,1
royal enfield one bright spot in gloomy motorcycle market,0
"sell hero honda, and move to maruti, m&m",1
hero honda an outperformer: prabhudas lilladher,0
motorcycle sales see at 3 lakh units this month: bajaj,1
hero honda to underperform for sometime,0
buy hero motocorp 2850 call: vk sharma,1
avoid hero motocorp: sudarshan sukhani,1
hero honda fall 9% on jv termination report,0
expect slack post festive season: hero honda,1
stay invest in hero motocorp: emkay global,1
here's basudeb banerjee's view on auto sector,1
buy cadila healthcare; pharma may outperform nifty: sukhani,0
"increase exposure to bajaj auto, hero honda: pn vijay",0
hero honda q4 pat see at rs 372.4 cr: p lilladher,1
buy hero motocorp; target of rs 2900: religare capital,0
stay away from hero honda motor at current level,0
sell hero honda: idbi capital,0
"buy bajaj auto, hero honda at current level: irani",1
"positive on maruti, may test rs 4500: rahul arora",1
"news as-it-happened: jayant sinha say paradise paper be ""completely bogus""",0
hero honda and bajaj auto will do well: shah,1
demand for 2-wheeler to remain sluggish in near-term: hero,1
satyam can touch rs 465-470: gujral,1
buy hero motocorp; target of rs 2050: fifl,0
hero honda's two wheeler sales up 9 %,1
6 stock likely to see lot of action today,0
hero motocorp may slip further: sukhani,1
"short bajaj auto, go long in hero motocorp: siddarth bhamre",0
actis invest $23 m in auto components firm sandhar,0
hero honda be a long term play: mathew,1
hero honda q3 pat see up 70% at rs 500 cr,0
"buy, sell, hold: invest tip on 8 largecap stock post q2 nos",1
"sell hero honda, say baliga",0
"sell hero honda, target of rs 692: india infoline",0
"hero motocorp q1 pat see up 16.9% yoy to rs. 1,068.2 cr: icici",1
"pick hero motocorp, target rs 2650-2680: hemant thukral",0
"hero honda miss street view, q4 profit down 16% on year",0
"hero moto q2 net down 27% yoy, see festive sales pickup",0
accumulate hero motocorp; target of rs 2101: pinc research,1
hero motocorp: hmcl americas inc enter into settlement agreement to acquire ebr's consult biz,0
"buy hero motocorp on every decline, say anu jain",1
yes bank can move to rs 318-320: mohindar,1
"buy hero motocorp, shriram transport; sell nmdc: sukhani",0
expect margins to improve in come quarters: hero honda,0
"buy hero honda, bajaj auto on dips: eswar",0
hero honda may see 15% growth in next fiscal: choksey,1
"f&o strategy on union bank, hero honda",1
expect weak sept; new products boost sales: bajaj auto,0
siam see growth in autos only after gdp recover to 6%,1
expect limit upside in hero motocorp: sharekhan,1
hero motocorp q4 meet street; net rise 71% at rs 814 cr,1
paint & tyre cos to be hit if crude spike up: mayuresh joshi,0
hero moto plan karizma phase-out by 2018 as sales dwindle,0
hero motocorp sales grow 11% in october,0
exit tvs motor company,0
"prefer l&t, idfc, bajaj auto: nooresh merani",1
"sell jain irrigation, dlf: ashwani gujral",1
hold hero motocorp for long term: akash jain,1
"prefer tata motors, m&m: neeraj deewan",0
hero honda have support at rs 1600- 1580: thacker,0
"goel`s view on bajaj auto, tvs motor",1
buy hero motocorp; target of rs 3350: emkay,0
exit hero honda motor on upside,1
hero honda may reward shareholders,1
"sell hdfc bank, vedanta: rajat bose",0
"buy bajaj finance, shriram transport, cox & kings, bob: gujral",1
"buy bharti airtel, hero moto; hcl tech may head lower: sukhani",0
"pick hero motocorp, advise prayesh jain",1
"hero honda, bajaj auto best bet in auto space: irani",0
buy hero motocorp; target of rs 2834: lkp,0
hero honda have support at rs 1700: jain,0
hero honda have upside of rs 40-50 on short term,1
ideas for profit | hero motocorp: raw material price weigh on q3 margin; near-term outlook weak,1
"stay invest in hero honda, say joshi",1
hero honda's q4fy08 pat see up 18% at rs 230.7 cr,1
hero motocorp to set up manufacture unit in ap,1
"short hero motocorp, target rs 2430: amit harchekar",1
auto sector result preview for q4fy13: motilal oswal,1
tvs motor top jd power customer satisfaction study,0
bajaj auto july sales rise 14% yoy to 3.64 lakh units,0
buy hero honda: mathew,1
hero motocorp up on strong results; how will it play ahead?,1
here's what to expect from hero moto q3 earn,0
hero honda q3 net profit at rs 275 cr,1
hero motocorp aim to be in 50 nations by 2020,1
cabinet may clear hero group's fdi tomorrow,0
bullish on hero honda: emkay global,0
hero honda +ve on better growth in come quaters,0
"bajaj auto, hero moto top bet in 2-wheeler space: religare",0
tvs srichakra may test rs 3240 in 9 months: mayuresh joshi,1
"buy balkrishna industries, hero moto; sell bpcl: gujral",1
hero motocorp to buy 49% stake in erik buell for $25m,1
"aim to expand sales in central, latin markets: hero",1
production partially impact at all plants: hero motocorp,0
hero honda q4 net profit see at rs 529.4cr: angel,0
the 3 who take on the bear and have a tale to tell,0
"hold hero honda, target of rs 855: pinc",0
hero motocorp increase price of motorcycle & scooters by up to 1%,0
domestic car sales down 10.15% in april,0
hero honda an outperformer: hdfc securities,0
nrb bear line up big expansion plan,0
six intraday trade pick for november 7,0
"buy hero motocorp, bajaj auto: sudarshan sukhani",0
accumulate hero motocorp; target of rs 3824: prabhudas lilladher,1
"hero motocorp fy13 result on april 26, 2013",1
"hero motocrop, maruti suzuki top pick in auto space: diwan",1
book profit in hero honda motors: irani,1
"prefer bajaj auto, hero motocorp: sp tulsian",0
investment strategies: 6 stock that you can buy or sell,1
"sell petronet lng, buy motherson sumi systems: mitessh thakkar",1
"trade calls: sell hero moto, dlf; buy tech mahindra",1
hero motocorp may launch 4 new 200-300cc bike over the next 18 months,0
hero motocorp q1 net up 10% at rs 615cr; miss street view,1
hero motocorp: outcome of agm,1
hero honda can go upto rs 1000,1
hold hero motocorp; target rs 2200: krchoksey,0
"hero motocorp launch 'xtreme sports' price at rs 72,725",1
"here's why tulsian be not upbeat on food, consumption stock",1
"buy hero motocorp 2600 put, say vk sharma",1
buy hero honda with a target of rs 940,1
tvs motor have target of rs 64-65: bhamre,0
"short hero motocorp, reliance industries: sukhani",0
"hold hero honda, say pujara",1
hero honda q4 pat see up at rs 2564 mn,1
exit hero honda at higher level,1
"to launch ciaz, s-cross post audience feedback: maruti",1
hero honda an underperformer: idfc sski,1
"hold hero honda, tvs motor: reliance money",1
hero honda may set up 4th plant in himachal pradesh,1
buy hero honda: motilal oswal,0
should you bet big on hero moto amid diwali cheer?,1
auto expo starts; what to expect in term of new launches?,1
"confident of stable growth in q1, q2 of fy10: hero honda",0
comment: visible sign of green shoot in auto sales,0
hero motocorp q3 net may rise 27% to rs 621 cr: poll,1
"hold hero honda, target of rs 878: krchoksey",1
heromoto announce jv with magneti marelli for powertrains,0
hero motocorp fix book closure for dividend & agm,0
hero motocorp can go upto rs 1920: agarwal,0
hero motocorp report robust sales of 504181 units in feb'14,0
two-wheeler retail sales up 5% in festive season: antique,1
"not much downside in maruti suzuki, hero honda: sp tulsian",1
"hero motocorp: agm on august 31, 2015",0
"accumulate hero honda, target of rs 855: angel",0
top super six trade ideas for may 3,1
hero honda will continue to outperform: gandotra,0
prefer hero motocorp: mehraboon irani,1
"upside limit for hero motocorp, bajaj auto: iifl",1
"stimulus exit will hurt industry growth, say auto cos",1
ridham desai shift focus to hero motocorp from zee ent,1
"buy hero motocorp, say sudarshan sukhani",1
to launch 4 new model & 4 variants in fy07: hero honda,1
hero motocorp have target of rs 2200: sp tulsian,1
prefer bajaj auto over hero motocorp: sharmila joshi,1
"buy bajaj auto, hero motocorp: devang mehta",1
accumulate hero motocorp; target of rs 4302: prabhudas lilladher,1
hero honda june '08 qtr pat see at rs 253.1 cr: angel,0
"hold hero honda, target of rs 1192: krchoksey",1
"prefer bajaj auto, hero motocorp: sudarshan sukhani",1
"buy capital first, stay with indiabulls real estate: rajat bose",1
"sell hero motocorp, colgate palmolive: kunal bothra",1
why lkp downgrade hero motocorp from buy to neutral?,1
hero honda may sales up 9.5% at 3.12 lakh units,1
hero work to extend fuel able tech to splendor range,1
honda aim at 10m units by fy20 in india,1
"hold hero honda, target of rs 900: reliance money",0
hero motocorp sales up over 4% in june,0
hero honda q1 net profit see at rs 440.7 cr: angel,1
two wheelers march sales move ahead,1
"sell hero motocorp, buy jet airways: sandeep wagle",0
buy icici bank; sell cipla: ashwani gujral,1
"hero motocorp's agm on sept 23, 2016",1
"hero motocorp a short term trade bet, say sukhani",1
hero honda look attractive: mehta,1
here be top 10 stock to focus on april 6,0
"hold bajaj auto, hero honda",1
"buy m&m on dips, positive on hero moto: neeraj dewan",1
"honda, hero close to jv pact rejig: report",0
"buy hero motocorp, target rs 2550: chandan taparia",1
"modi govt's 100 days: more hit than misses, say experts",1
hero motocorp q2 net see up 2.6% at rs 452 cr: p lilladher,1
pressure on hero honda likely to continue,0
hero honda market under performer: hdfc sec,0
bull's eye: stock to buy today,1
"like hero motocorp, itc; both contra calls: nirmal bang",1
"buy tata motors, hero motocorp: kunal bothra",1
hero motocorp to bring back product development to india,0
hero motocorp to pass gst benefit to customers,0
stay away from auto sector,0
hero honda q4 margins take a hit; net dip 27% to rs 195cr,0
"buy hero honda, target of rs 945: hdfc securities",0
"bull's eye: buy gmr infra, rel comm, dena bank",1
hero honda q4 profit after tax see up 37.5% at rs 553 cr,0
honda could consider launch more powerful scooters after 2020,1
top buzz midcap stock to trade on may 12,1
"hero motocorp sell 5.71 lakh units in april 2014, growth of 14.4%",1
"buy hero moto, hold infosys: ambareesh baliga",1
hero motocorp to launch 15 new products in fy17,1
"hold hero honda, target of rs 851: asit c. mehta",0
hero moto q4 net down 5% to rs 574cr; beat street,0
hero honda aug 2-wheeler sales at 3 lakh units,0
not see huge growth in 2-wheeler segment: hero honda,1
buy tata motor on dips: quant broking,0
no spark see in december auto nos,1
"hero honda launch refresh glamour, glamour f1",0
union budget 2019-20 bring cheer to company in the two-wheeler space,1
hero honda sept pat see down at rs 510 cr: angel,0
buy hero motocorp: sudarshan sukhani,1
"buy kotak mahindra bank, yes bank: sudarshan sukhani",1
home-grown hurdle push india inc to invest abroad,1
accumulate hero honda: edelweiss research,1
arihant capital neutral on hero motocorp; target of rs 2970,1
hero honda net profit zoom 31% to rs 275cr in q3fy07-08,1
hero honda q2 net profit see at rs 548.1cr: motilal oswal,1
"go long in maruti suzuki, tata motors, bajaj auto: tulsian",1
"avoid hero honda, say sanjay dutt",0
"hold hero honda, target of rs 1604: krchoksey",1
"here's how to trade jspl, hero moto, coal india today",1
"buy hero honda, target of rs 900: reliance money",0
auto cos to declare sept sales number today,1
hero moto disappoint on higher deprecation costs: experts,1
"prefer bajaj auto over hero motocorp, say rajesh agarwal",0
auto sector result preview for q2fy13: krchoksey,1
hold hero honda motors: thacker,1
"m&m, maruti better bet than hero honda",1
"exide, finolex cables, havells should benefit from gst: equirus",1
buy hero motocorp; target of rs 4300: icici direct,1
volume growth for 2-wheelers to be back by jan: stanchart,0
dolat capital handpicks 18 stock for investment,0
dipan mehta overweight on auto space,1
hero begin african safari; start operations in kenya,1
"bull's eye: buy l&t, hexaware, infosys; short bgr energy",1
eicher polaris appoint pankaj dubey as ceo,1
"below rs 670, further downside in hero honda",0
"sell mcleod russel; buy hero moto, pfc: sudarshan sukhani",1
buy hero motocorp: sukhani,0
hero motocorp unveil first in-house bike splendor ismart 110,0
hero motocorp ink 3-year wage agreement with gurgaon workers,1
"growth slowdown: two-wheeler companies, dealers struggle to liquidate stock; inventory rise by 4 weeks",1
"hero honda ebitda up 120 bps, eye further growth",1
super six stock you can bet on september 28,1
new model to come out rs 850cr r&d centre: hero moto,1
"buy, sell or hold: best stock from auto, steel, telecom & oil",1
hold hero motocorp; target of rs 2904: edelweiss,1
"hero honda august 07 sales at 2,40,875; 12% yoy gwth",1
enter hero honda at rs 1800-1810: thacker,1
here be some top trade tip from sp tulsian,1
expect 20% gain in hero honda: jain,0
6 intraday pick to make smart gain,1
hero motocorp: update on scheme of amalgamation,1
exit hero honda at rs 1818-1825: bhambwani,1
"buy hero motocorp, pfc, tata steel: sudarshan sukhani",1
buy mahindra and mahindra on dips: ajay srivastava,1
stay invest in hero honda,1
"avoid hero motocorp, say amar ambani",0
"hero honda qtrly net up 49%, beat forecast",0
hero-pe deal: hipl to hold 34% stake in hero honda,1
see lot of speculative upside in adag stocks: pn vijay,0
hero motocorp q1 pat may dip 15.7% yoy to rs. 766.3 cr: prabhudas lilladher,1
hero honda q4 net up 53% at rs 298.70 cr,1
"hero honda indian open attract coltart, dyson & mcdowell",1
"hero motocorp price 1st 'hero' brand bike at rs 66,800",0
"hero honda, maruti suzuki top pick in auto space: jain",0
citi see 23% upside in hero motocorp after november sales data,1
"buy hero motocorp, say mazhar mohammad",1
hold hero motocorp; target of rs 3365: edelweiss,1
hero motocorp have target of rs 2275: harchekar,0
hero motocorp q3 pat see up 47% at rs 631 cr,1
launch of 100cc motorcycle to aid mkt share: bajaj auto,0
"hold hero motocorp, say shardul kulkarni",1
hero honda q1 net profit see at rs 470.3 cr: iifl,0
bajaj auto to ride on the discover brand once again with a new launch on jan 10,1
"high costs, ad spend drag hero moto q3 net down 20%",1
"auto expo off to a start with 51 launches, hybrids hog show",1
hero motocorp: board declare interim dividend,1
two wheelers growth continue to be strong: damania,1
"hero motocorp launch 'splendor pro' price at rs 46,850",1
"top 10 stocks: keep an eye on icici bank, infosys, drl",1
"be invest in m&m, hero honda, bajaj auto: gujral",0
hero honda q1 net profit see at rs 466.4 cr: m oswal,0
"sell hero motocorp, say arunesh madan",0
hero honda may slip to rs 1725-1750: baliga,0
"hero, honda agree to royalty at around rs 2300-2400 cr",0
"hero moto may test rs 3190, hul rs 890, lic house rs 483: gaba",1
"barclays downgrade bajaj auto; cut hero, tvs motor target",0
positive expectations from festive season: hero honda,1
raise rs 94 cr from right issue: lg balakrishnan & bros,0
hero honda may go upto rs 740,0
hero honda q2 net up 26%; to launch 6 more bike this yr,1
hero motocorp to invest rs 160cr in global part centre,1
two-wheeler sales hit speed bump in june,0
stay away from sugar: gujral,1
hero honda can grow 15-20% from current level,1
"hero unveil diesel concept bike, 4 other vehicles",1
hero motocorp dip as analysts worry of bumpy road ahead,0
"buy hero motocorp on declines, say amit gupta",0
ipl effect: india cement to score more with csk brand,1
bumper diwali sale; see surge in proxy demand: honda,1
"hero honda can touch rs 775, say gujral",1
here be top 10 stock to watch for today,0
prefer two wheelers stocks: phani sekhar,1
angel broking neutral on hero honda motor,0
hero honda dec qtr pat see up 8.1% at rs 579.3cr: pinc,0
"bajaj auto, hero honda be more trade stocks: dhawan",0
hero motocorp update on scheme of amalgamation,0
"buy marico, hero moto may test rs 3000, ultratech rs 3130: most",1
honda motorcycle catch up with hero honda,1
hero honda june sales at 2.95 lakh units,0
hero motocorp may go above rs 3000: sudarshan sukhani,0
crisil assign 1st bank loan rat under basel ii,1
accumulate hero motocorp; target of rs 2784: prabhudas lilladher,0
ideas for profit | hero motocorp: q4 earn dismal; long-term valuations attractive,0
hero honda a safe bet: srivastava,0
activa contribute 38% of incremental industry sales in july,0
hero honda jun '08 qtr pat see at rs 239.8 cr: iifl,0
hero honda motor look attractive,1
"bull's eye: short gmr infra, delta corp; buy itc, infosys",1
lot more scope for 2-wheeler growth across country: siam,1
gear up for the festive season: hero honda,0
"buy hero motocorp, say sudarshan sukhani",0
"hold hero honda, target rs 771: emkay",1
"cement, insurance stock top tulsian's bet",0
new launch in two-wheeler space barely manage to stay afloat,1
q3 earnings: auto sector preview and expert pick,0
hero honda will move up 15-18% in long term: vora,1
gartner's budget 2010 wishlist,0
buy hero motocorp near rs 1940-1950: rajesh jain,0
"buy maruti suzuki on dips, say rakesh bansal",0
"goldman sachs downgrade hero honda, m&m",1
hero honda a market performer: karvy,1
very focus on 100cc segment: hero honda,1
accumulate hero motocorp; target of rs 3084: dolat capital,1
sell hero honda: p-sec,0
hero motocorp announce europe arrival in 2015,1
hero honda unveil special edition commemorative splendor +,0
remain invest in tvs motor: gaurang shah,0
automobile sector result preview for q3fy12: emkay,1
hold hero honda for long term: betadpur,1
minority shareholders seek clarity on hero honda deal,1
rikesh parikh's view on bajaj auto,0
"buy m&m, tata steel, hero moto: manish hathiramani",0
union budget 2011-2012: positive for auto sector,0
here be top 10 stock to focus on march 24,1
hero motocorp may test rs 3300: regan homavazir,0
buy hero motocorp; sell dish tv: sameet chavan,1
"buy hero motocorp, target rs 3749: mazhar mohammad",0
hero motocorp q2 net profit up 19.4% at rs 604 cr,0
hero honda q1 net profit see at rs 442 cr: krchoksey,0
"buy hero motocorp, say sudarshan sukhani",1
"hero honda mar '11 sales at rs 5,390.93 crore",1
"hold hero motocorp, may test rs 4600-4800: sandeep wagle",1
"stay away from bajaj auto, hero honda: radhika gupta",1
hero honda will continue to underperform in next month,1
hero motocorp launch splendor ismart 110,0
hero hondaï¿½s cumulative sales for cross 1mn,1
"khade`s view on hero motocorp, bajaj auto",1
hero motocorp sales grow 11% at 7 lakh units in may 2018,0
stay away from hero moto corp: tulsian,1
exercise caution in hero honda at current level,0
hero motocorp sell 4.87 lakh units of two wheelers in july 2015,0
hero motocorp may go upto rs 2200: dharmesh kant,1
buy or sell: top stock trade ideas by market experts which be good short-term bet,1
buy hero honda on dips: subramanian,0
bajaj auto can add rs 300-400,0
"maruti, tvs, tata motor slip as april sales stay sluggish",0
hero honda a medium-term investment pick,0
"buy pnb, maruti suzuki, hero motocorp: sudarshan sukhani",1
hero motocorp q2 pat see up 7.9% yoy to rs. 1083.7 cr: edelweiss,1
"maruti, hero honda may see upside: jain",1
"key resistance for nifty at 9817; 4 stock to buy, sell today: prakash gaba",0
"buy hero motocorp, say sudarshan sukhani",1
"buy adani ports, hero motocorp, lupin: sudarshan sukhani",1
hero motocorp q2 pat may fall 0.9% at rs 436.7 cr: most,1
hero honda share fall on royalty worry,0
"hero honda change name, become hero motocorp",0
hero honda motor declare final dividend at rs 35 per share,0
be two-wheeler space worthy of investors€™ attention? be it move towards premiumisation?,1
buy hero honda on decline: bhat,0
hero motocorp in jv with magneti marelli,0
news highlight of the day: donald trump sign us tax bill,1
hero honda not likely to make fresh highs: gujral,1
hero motocorp look for larger export play,0
stay away from two wheelers,1
jeev & jyoti head home for hero honda indian open 2007,1
hero motocorp outperform peer in q1; target rs 3100: iifl,1
"most upgrade earn estimate of tata motors, maruti",1
"deutsche bank cut hero, bajaj auto, tvs motor target price",1
"hero motocorp sales marginally up at 5,42,362 units",1
hero motocorp top pick: amisha vora,1
hero honda q4 net see down 24.8% to rs 201cr,0
