text,label
"Infosys Q3 PAT seen up 4.4% QoQ to Rs. 4,291.4 cr: Prabhudas Lilladher",__label__1
Infosys to announce Q3 earnings on Jan 11; Here's what brokerages are expecting,__label__1
"Infosys to discuss share buyback, special dividend at January 11 board meet",__label__1
Yet another top-level executive quits Infosys,__label__1
IT firms expected to deliver strong Q3 earnings; slowdown in US could be a risk,__label__1
CIMB expects top 5 IT firms to report 1.5€“4.8% QoQ revenue growth in constant currency in Q3,__label__1
Infosys appoints Nilanjan Roy as CFO,__label__2
"Buy Infosys, target Rs 745: Hadrien Mendonca",__label__2
"Infosys forms JV with Hitachi, Panasonic, Pasona in Japan",__label__2
"Buy Infosys, target Rs 735: Shabbir Kayyumi",__label__2
"Infosys inaugurates new technology, innovation hub in US",__label__1
"New H-1B proposal mixed bag for India, say experts",__label__1
"Demand for analytics high but nearly 76,000 vacancies unfulfilled: survey",__label__1
"Infosys to create 1,200 jobs in Australia, to set up 3 innovation hubs",__label__2
"Infosys to open tech hub in Texas, hire 500 American workers by 2020",__label__2
Infosys Q2 FY€™19 Earnings Conference Call,__label__2
"Wipro reports 10% decline in Q2 net profit, names Arundhati Bhattacharya as Independent Director",__label__2
"Infosys Finacle, R3 announce partnership for blockchain solutions",__label__2
Buy Infosys; target of Rs 800: Motilal Oswal,__label__2
Infosys Q2 FY19 review: Steady execution; an ideal long term buy,__label__2
"Infosys retains annual forecast despite strong Q2, 'comfortable outlook'",__label__2
"Infosys net profit rises to Rs 4,110 crore; top 10 takeaways from Q2 results",__label__2
"Infosys Consolidated September 2018 Net Sales at Rs 20,609.00 crore, up 17.32% Q-o-Q",__label__2
"Infosys Standalone September 2018 Net Sales at Rs 18,297.00 crore, up 19.15% Q-o-Q",__label__2
"Infosys Q2 profit jumps 14% QoQ to Rs 4,110 cr, maintains FY19 margin guidance",__label__2
"Infosys PAT likely to get a push on higher growth, margin expansion",__label__2
Infosys announces Rs 1.5 cr reward to push innovation in social work,__label__2
Moody's assigns A3 rating with stable outlook to Infosys,__label__2
"HSBC increases target on IT companies, sees a decent Q2 earnings",__label__2
"Buy Infosys, target Rs 850: Ashish Chaturmohta",__label__2
Looking for momentum plays? Top 5 stocks which could give 7-13% return in 1-2 months,__label__2
Infosys deploys digital banking solution at Australian Military Bank,__label__2
Infosys partners Google Cloud to develop 'Data Native Intelligent Enterprise',__label__2
"Infosys to open technology, innovation hub in Arizona; hire 1,000 people by 2023",__label__2
Rajiv Bansal files caveat in civil court against Infosys,__label__2
Infosys loses arbitration over severance package to ex-CFO; asked to pay Rs 12.17 crore,__label__2
Infosys doubles investment in US-based TidalScale to $3 million,__label__2
Buy Infosys; target of Rs 840: Sharekhan,__label__2
"10 years later, here are 4 lessons from Lehman's collapse",__label__2
"Infosys, Australian Open announce strategic technology partnership",__label__2
Buy Infosys with near term target of Rs 840: Shailendra Kumar,__label__2
"Infosys, Temasek announce joint venture in Singapore, name Shveta Arora CEO",__label__2
"Infosys CEO addresses fears of attrition, senior-level exits: Report",__label__1
"Hired more than 4,700 Americans since 2017 : Infosys",__label__2
"Infosys CFO exit gives CEO chance to execute strategy with new team, but high attrition a concern",__label__2
Buy or sell: Top stock trading ideas by market experts which are good short term bets,__label__2
Infosys to build software development centre in West Bengal,__label__1
Infosys links salaries of key personnel with digital revenue growth,__label__1
"Infosys places non-compete clause on CEO Salil Parekh's exit, talks of further write down of Panaya sale price",__label__1
Infosys sees higher attrition at junior level,__label__2
Hold Infosys; target of Rs 1410: ICICI Direct,__label__2
Buy Infosys; target of Rs 1420: JM Financial,__label__2
Accumulate Infosys; target of Rs 1500: Dolat Capital,__label__2
Podcast | Infosys vs TCS Q1 results: Not a battle of equals,__label__1
Buy Infosys; target of Rs 1430: Prabhudas Lilladher,__label__1
Ideas for profit: Slow but steady growth is what's reassuring about Infosys' Q1 show,__label__1
"Infy Q1 uneventful, performance over next 2 quarters to chart direction, say analysts",__label__1
Infosys Q1: IT major announces 1:1 bonus issue to mark 25 years since listing,__label__1
Infosys maintains FY19 guidance; here are 10 key takeaways from Q1 earnings,__label__1
"Infosys Q1 profit misses estimates, falls 2% to Rs 3,612 cr; Board approves bonus issue",__label__1
"Infosys Q1 preview: BFSI performance, outlook keenly watched",__label__1
Podcast | Deep Dive €” A foundation of conscientious growth: The Infosys story,__label__1
"Artificial Intelligence has reached era of consumerisation, says Infy co-founder",__label__2
"Buy Infosys, target Rs 1450: Ashish Chaturmohta",__label__1
"Buy Infosys, target Rs 1386: Hadrien Mendonca",__label__1
Infosys to announce June-quarter results on July 13,__label__1
Whistleblower shots off letter to US SEC against Infosys,__label__1
Infy @ 25 years of listing; ex-CFO says NRN made it all happen,__label__2
This squad of 11 stocks may be the world beater with PM Modi as coach,__label__2
Infosys pledges to reduce plastic waste by 2020,__label__1
"Nilekanis, 3 PIOs billionaires pledge to donate more than half their wealth to charity",__label__1
"Buy Infosys between Rs 1,185-1,195, target Rs 1,260: Aditya Agarwala",__label__1
"Buy or sell: Top stock picks by Prakash Gaba, Nandish Shah for May 15",__label__1
Ravi Venkatesan resigns as independent director of Infosys,__label__1
Former Infosys CEO Vishal Sikka says his artificial intelligence venture is in early stages,__label__2
Infosys may deny severance pay to Rajiv Bansal over data deletion,__label__2
"Infosys partners Astound for automated services, support for enterprises",__label__2
"Infosys' new training center in US a game changer, says top executive",__label__1
Buy Infosys; target of Rs 1330: Motilal Oswal,__label__2
Hold Infosys; target of Rs 1180: ICICI Direct,__label__2
CEO Salil Parekh wants three years to transform Infosys but analysts see nearly 20% upside in a year,__label__2
"Infosys eyes acquisitions, unveils three-pronged strategy to accelerate biz growth",__label__2
Buy Infosys; target of Rs 1300: JM Financial,__label__2
"Bullish on TCS, see 30% upside in FY19: Akash Jain",__label__1
Markets await TCS Q4 earnings on April 19; Here's what to watch for,__label__1
Podcast | Infosys Q4 review: How the numbers stack up,__label__1
Hold Infosys; target of Rs 1110: ICICI Direct,__label__1
Sell Infosys; target of Rs 1150: Dolat Capital,__label__1
Buy Infosys; target of Rs 1169: Prabhudas Lilladher,__label__1
Buy Infosys; target of Rs 1290: Reliance Securities,__label__1
Buy Infosys; target of Rs 1419: Edelweiss,__label__1
Hold Infosys; target of Rs 1184: KR Choksey,__label__1
"Turbulent times for Infosys over, buy on declines: Akash Jain",__label__1
"Global brokerages outlook mixed post Infosys Q4 earnings, Jefferies sees 34% upside",__label__1
Infosys sees FY19 constant currency revenue growth at 6-8% but cuts margin guidance,__label__2
"Infosys net profit at Rs 3,690 crore; 10 key takeaways from Q4 results",__label__2
Infosys puts up its subsidiaries Skava and Panaya for sale,__label__2
Infosys announces acquisition of US firm WongDoody Holding for $75 million,__label__2
"New Infosys CEO Parekh caps in-line FY18 by reversing Sikka's Panaya, Skava acquisitions",__label__2
Infosys to announce Q4 earnings on April 13; Watch out for these 5 factors,__label__2
"Buy Infosys, target Rs 1,180: Sumit Bilgaiyan",__label__1
"Buy Infosys, expect better EBIT margins in Q4FY18: Akash Jain",__label__1
"Time to push €˜BUY€™ button on IT stocks? TCS, Infosys among 10 stocks in focus ahead of Q4 results",__label__2
Buy Infosys; target of Rs 1345: Axis Direct,__label__2
Infosys invests $1.5 mn in Waterline Data Science,__label__1
Nandan Nilekani bats for PSB privatisation in taxpayers interest,__label__1
"Infosys to announce March quarter earnings, final dividend on April 13",__label__2
Infosys to open technology & innovation hub in Connecticut,__label__2
"Infosys to consider March quarter results on April 13, 2018",__label__2
"Buy United Spirits, Jubilant Foodworks, NIIT Technologies: Ashwani Gujral",__label__1
Betting on tech theme? Top 4 stocks which investors could add in their portfolio,__label__1
"Buy Infosys; short BPCL, M&M Financial Services: Sudarshan Sukhani",__label__1
"News highlights of the day: Claiming rights without duties is against democratic values, says PM Modi",__label__2
"Buy Infosys, Ceat; sell HDFC, M&M Financial Services: Chandan Taparia",__label__2
"Nifty likely to open flat to negative around 10,460; to remain stuck between 10410-10540: Stewart & Mackertich",__label__2
"Nifty likely to open flat to negative around 10,460; to remain stuck between 10410-10540: Stewart & Mackertich",__label__2
N Chandrasekaran will take decisions that are best for Tata Group: NRN Murthy,__label__1
"Infosys, PTC launch centre for industrial IoT",__label__1
"Buy Infosys, Hindalco Industries; sell BHEL: Chandan Taparia",__label__1
"Buy Infosys, Yes Bank, Kotak Mahindra Bank: Ashwani Gujral",__label__2
"Buy Infosys, DLF, hold Dabur; sell Engineers India: Sudarshan Sukhani",__label__2
"Buy Infosys, TCS, Mphasis, Polaris, Tata Elxsi, Mindtree; sell Bharti Airtel: Ashwani Gujral",__label__2
News highlights of the day: 'India's Osama' mastermind of 2008 Gujarat blasts arrested,__label__1
Startups will flourish if regulations are eased: V Balakrishnan,__label__1
Infosys selected as tech partner by A S Watson Group,__label__1
Buy Infosys; target of Rs 1345: Axis Direct,__label__2
Winning large deals key for IT companies in 2018: V Balakrishnan,__label__1
"Sell PNB, HPCL; buy Hexaware, Infosys, Jubilant Foodworks, Sun Pharma: Sudarshan Sukhani",__label__1
News highlights of the day: AirAsia India says no plans to look at Air India stake,__label__1
Hold Infosys; target of Rs 1110: ICICI Direct,__label__1
Accumulate Infosys; target of Rs 1187: KR Choksey,__label__1
Buy Infosys; target of Rs 1240: Reliance Securities,__label__1
Buy Infosys; target of Rs 1220: Prabhudas Lilladher,__label__1
News highlights of the day: AirAsia India to resume Chennai operations from next month,__label__1
Continue to be cautious on Infosys; target at Rs 1060: Elara,__label__1
Digital now a critical element of the market: Infosys CEO,__label__2
Buy Infosys; target of Rs 1250: Motilal Oswal,__label__2
Infosys to release future roadmap in April: CEO Salil Parekh,__label__2
Buy Infosys; target of Rs 1150: JM Financial,__label__2
Buy Infosys; target of Rs 1265: Edelweiss,__label__2
"Infosys Q3 profit jumps 38% on tax reversal; maintains FY18 revenue, EBIT margin guidance",__label__2
"Hold Infosys, says Avinnash Gorakssakar",__label__2
"News highlights of the day: Fingerprint, iris data in Aadhaar are safe, secure: Ravi Shankar Prasad",__label__1
Infosys to announce Q3 earnings on Friday; here are 5 key things to watch out,__label__1
Analysts rating mixed on Infosys but are positive post APA agreement with US IRS,__label__1
"News highlights of the day: A Raja slams Manmohan Singh, calls Vinod Rai 'sutradhaar' of 2G case",__label__1
"Buy, Sell, Hold: 6 stocks and 2 sectors on analysts radar on January 10",__label__1
"Infosys signs APA with US, gets $225 mn tax reversal",__label__1
Buy Infosys; target of Rs 1200: Motilal Oswal,__label__1
"Buy Infosys, DHFL, Interglobe Aviation, M&M, South Indian Bank; sell Andhra Bank: Sudarshan Sukhani",__label__1
CLSA raises target price on Infosys ahead of Q3 results to Rs 1230; sees 21% upside,__label__1
News highlights of the day: BSE & NSE ask members to trade cautiously in 200 illiquid stocks,__label__2
Infosys Partners with ValGenesis to further enable digitisation in Life Sciences,__label__2
Infosys CEO Salil Parekh will be paid a fixed salary of Rs 6.5 crores,__label__2
New Infosys CEO Salil Parekh's challenges and his message to employees,__label__2
"IDFC overweight on Indian IT services; initiates Outperformer on TCS, Infosys, Tech Mahindra",__label__2
Salil Parekh takes over as Infosys CEO and MD on Tuesday,__label__2
"See upside in Infosys, says Ashwani Gujral",__label__1
Why entry level salaries for IT firms will remain low €“ with or without the €˜cartel€™,__label__1
IT companies formed cartel to keep entry-level salary low: Mohandas Pai,__label__1
"Chidambaram, Murthy spar over Aadhaar",__label__1
"Balakrishnan pitches for Nilekeni, NRN or Premji for CIO post",__label__2
"Exit Infosys, says Vijay Chopra",__label__1
Book profits in Infosys: Rajat Bose,__label__1
Infosys to announce Q3 results on January 12,__label__1
"News Highlights: HDFC Bank to consider raising funds via QIP, share sale to HDFC",__label__1
Infosys re-investigation found no wrongdoing in Rajiv Bansal severance pay case: Kiran Mazumdar-Shaw,__label__1
"Infosys severance pay plea: Matter of legality for SEBI, not emotions: Ex-CFO",__label__1
News highlights of the day: New York mayor says explosion at bus terminal was attempted terror attack,__label__1
"N R Narayana Murthy's stand vindicated, so apologise to him: Pai tells Infosys",__label__1
Infosys submits settlement application with SEBI over Rajiv Bansal's severance pay,__label__1
"Buy Infosys, Havells India, Mahanagar Gas, Bosch; sell Capital First:  Sudarshan Sukhani",__label__1
Salil Parekh takes charge: Will he continue with Vishal Sikka's vision for Infosys?,__label__1
Hold Infosys; target of Rs 1020: ICICI Direct,__label__1
Analysts hail appointment of Salil Parekh as Infosys' MD & CEO,__label__1
Should minority shareholders be excited about the new Infosys boss?,__label__1
"Underweight on largecap IT; have sell rating on Wipro, Infosys & TCS: Karan Taurani",__label__1
Salil Parekh's appointment is a positive development for Infosys: Expert,__label__1
Infosys rallies as Board appoints new CEO & MD Salil Parekh; could rally up to 15% in 1 year,__label__1
News highlights of the day: Fitch Ratings cuts India FY18 growth forecast to 6.7%,__label__1
"News highlights of the day: I-T dept conducts searches on K Raheja Group companies, including Shoppers Stop",__label__2
"Infosys to set up innovation hub in Rhode Island, hire 500 American workers",__label__2
Pravin Rao likely to continue as Infosys CEO: Sources,__label__1
"News Live: Modi's government like Manmohan Desai's films, says Sitaram Yechury",__label__1
"Nandan Nilekani, Bill Gates announce formation of 'Co-Impact'",__label__1
"All is well in Infosys, says Narayana Murthy",__label__1
"Infosys to open innovation hubs in the US, Nilekani    ",__label__2
"News as-it-happened: Jayant Sinha says Paradise Papers are ""completely bogus""",__label__2
"Infosys, Adecco Group redefine future of staffing",__label__1
"BG Srinivas, Ashok Vemuri in race for Infosys CEO position: Report",__label__1
Infosys deploys more people in states to ease GSTN load,__label__1
Ashok Vemuri in contention for Infosys CEO role; Will he return to Infy?,__label__1
Buy Infosys; target of Rs 1200: Axis Direct,__label__1
"Infosys buyback: October 30, last day to participate",__label__2
Infosys 'rationalises' employment contracts for top executives,__label__2
Hold Infosys; target of Rs 1000: Sharekhan,__label__1
Accumulate Infosys; target of Rs 1070: Prabhudas Lilladher,__label__1
Buy Infosys; target of Rs 1100: Motilal Oswal,__label__1
Hold Infosys; target of Rs 955: ICICI Direct,__label__1
Hold Infosys; target of Rs 1010: Edelweiss,__label__1
Remain cautious on technology in general & on Infosys: Girish Pai,__label__1
Infosys Q2 results: Focus shifts back to business,__label__1
Nandan Nilekani says Infosys will focus on strategy execution going forward,__label__2
"'Sadly, will no longer know the truth': Murthy says after Infosys issues corporate governance clean chit",__label__2
"Post Infosys results, praise for Vishal Sikka, questions for Murthy",__label__2
Infosys likely to open lower on Wednesday; top 10 takeaways from Q2 results,__label__2
"Panaya deal given clean chit, ex-CFO severance could€™ve been handled better: Infy Board",__label__2
"Infosys Q2 profit rises 7%, FY18 constant currency revenue guidance cut to 5.5-6.5%",__label__2
"2018 will be a better year for Indian IT, say industry figures",__label__2
Infosys to announce Q2 earnings on Tuesday; here's what to expect,__label__2
"Infosys to announce Q2 results on October 24, 2017",__label__2
Infosys Q2 PAT may dip 0.1% QoQ to Rs. 3479.8 cr: Kotak,__label__1
"Infosys' Rs 13k cr buyback: Good time to buy with up to 25-30% return, says HDFC Sec",__label__2
"Infosys fixes Nov 1 as record date for Rs 13,000-cr buyback",__label__1
"Infosys bags deal from KONE, to set up Helsinki design centre",__label__2
Buybacks in small and midcap companies under taxman€™s lens: Sources,__label__1
"Remain invested in Infosys, says Gaurang Shah",__label__1
Buy Infosys at around Rs 800-850: Prakash Gaba,__label__1
Infosys Finacle partners with ToneTag,__label__2
Infosys clarifies on Senior VP Sanjay Rajagopalan's exit from company,__label__1
Infosys Senior VP Sanjay Rajagopalan quits,__label__1
"Buy Infosys, Allahabad Bank: Mitessh Thakkar",__label__1
"Infosys opens centre in North Carolina, to hire 2,000 Americans by 2021",__label__1
"Add Infosys at around Rs 800, says Prakash Gaba",__label__2
Infosys completes Brilliant Basics acquisition,__label__2
Infosys completes acquisition of Brilliant Basics,__label__2
"Infosys to continue with strategy execution, no change in client demand: UB Pravin Rao",__label__2
Why buybacks are losing their magic touch,__label__2
Infosys board rejig may necessitate an open offer: SES,__label__2
Infosys opens office in Amsterdam,__label__2
Infosys delays Q2 earnings announcement to October 24,__label__2
"Infosys delays Q2 results announcement to Oct 24, board to meet on Oct 23-24",__label__2
"HCL Tech, Johns Hopkins University working on project to stem spread of Zika virus",__label__2
"Infosys - Board to consider Q2 results & Interim Dividend on October 24, 2017",__label__2
SEBI may bar auditors if past reports not up to the mark,__label__2
Engaging with shareholders on governance standards: Infosys,__label__2
Infosys founders taking part in buyback not to send wrong,__label__2
Infosys to submit plan after land registration completion,__label__2
"Infosys saga: Pleased that Nandan Nilekani is back, says NRN Murthy",__label__2
How cultural fault lines undermined the attempt to build a new Infosys,__label__2
Education system in India should be totally autonomous: Narayana Murthy,__label__2
Promoters wanting to participate in Infosys buyback sends the wrong signal,__label__2
Hold Infosys; target of Rs 1010: Edelweiss,__label__2
"Founders may sell some stake through Rs 13,000 cr Infosys buyback",__label__2
Infosys says some of its promoters intend to participate in share buyback,__label__2
Accumulate Infosys; target of Rs 913: IDBI Capital,__label__2
Kiran Mazumdar-Shaw backs Ravi Venkatesan,__label__2
"Infosys may correct 2-3% post buyback, say experts; advise wait and watch approach",__label__2
Client & Employee exit will diminish with Nandan's return at Infy: Edelweiss Financial,__label__2
"Buy Infosys, Bajaj Finserv, Karnataka Bank, Pidilite Industries: VK Sharma",__label__2
"Infosys may remain under pressure in near term, says Girish Pai",__label__2
"Buy, Sell, Hold: 3 stocks on analysts€™ radar today",__label__2
Infosys: Outcome of board meeting,__label__2
Nandan Nilekani returns as Chairman of Infosys: Read the full company statement,__label__1
"Resigning was one of the hardest decisions, but had to be done, says Vishal Sikka",__label__1
"Saas, bahu and Nilekani: Infosys soap needs a happy ending",__label__1
Infosys invites Arundhati Bhattacharya to join its board: Report,__label__1
Have neutral stance on Infosys: Moshe Katri,__label__1
Sebi to look afresh into governance-related complaints at Infosys,__label__1
Infosys paying price for ignoring basics of corporate governance: SEBI ex-chief Damodaran,__label__1
Big Deal: The IPO boom!,__label__1
Nandan's return to Infosys will steady the ship: V Balakrishnan,__label__1
Buy Infosys; target of Rs 1080: Reliance Securities,__label__1
Nandan Nilekani: A profile of the man who's a true technocrat,__label__1
V Balakrishnan bats for Nilekani as chairman of Infosys,__label__1
"Exit Infosys, may slip below Rs 800: Sandeep Wagle",__label__1
"Get in Infosys on dips, says Shahina Mukadam",__label__1
Infosys board vs NRN Murthy: A look at all that has happened since Vishal Sikka's resignation,__label__1
Clamour gets louder for Nandan Nilekani to return to Infosys; here€™s how D-Street reacted,__label__1
'Murthy's criticism not that of entire Infosys promoter group',__label__1
Nandan Nilekani likely to return as Infosys head: Sources,__label__1
Global prices of metal commodities resulted in uptick of metals: Jaspal Bindra,__label__1
"Infosys will 'stay the course', interim CEO assures staffers",__label__1
"Now, Infosys slips out of top 10 BSE m-cap list",__label__1
Sikka exits: What next for Infosys?,__label__1
Infy should've raised buyback size to boost confidence: Bala,__label__1
"Without change, Infosys will become irrelevant: Management Guru Vijay Govindarajan",__label__1
"Look for stocks through bottom-up approach, says Kashyap Pujara",__label__1
"Former Infosys board member slams Murthy, sides with Sikka in open letter",__label__1
"Infy chairman, co-chair must step down before CEO search: Bala",__label__2
US law firms filing class action suit won€™t impact buyback: V Balakrishnan,__label__2
Infosys announces share buyback: Here's how experts view it,__label__2
"Margin will be in double-digit by end of year, says Tech Mahindra",__label__2
Investors don't like volatility at Infosys' top leadership: Moshe Katri,__label__2
"Infosys tanks 5%, hits fresh 52-week low post Sikka€™s exit; brokerages not upbeat on stock",__label__2
Time to exit Infosys? Analysts advise tendering shares in buyback,__label__2
Buy Infosys; target of Rs 1155: Edelweiss,__label__2
"COMMENT-The buyback may keep a rudderless Infy afloat, but resolving the spat is key",__label__2
Infosys press conference: Here's how experts react,__label__2
"Buy Infosys below Rs 900, says Avinnash Gorakssakar",__label__2
"Buy Infosys on declines, says Prakash Gaba",__label__2
"Problem in Infosys could linger on; buy RBL Bk, HPCL, Chennai Petro: Ashwani Gujral",__label__2
Infosys conference call: Here are a few key takeaways from experts,__label__2
