Dates,Headlines
09 Oct 2019,"Strong support for Nifty at 11,000; HCL Tech, HDFC on analysts€™ radar"
01 Oct 2019,"SAP, Infosys tie-up for enterprise business"
27 Sep 2019,India can become world leader in artificial intelligence: Vishal Sikka
24 Sep 2019,"Infosys, TCS, HDFC among 17 Indian firms in Forbes best 'regarded' cos list"
27 Aug 2019,"Infosys closes Rs 8,260 crore buyback offer, takes back 11.05 crore shares"
27 Aug 2019,"Infosys board considers closure of Rs 8,260 crore buyback offer"
21 Aug 2019,Infosys expands strategic partnership with Google Cloud
12 Aug 2019,SEBI raises concern over 35% minimum shareholding plan: Report
05 Aug 2019,Podcast | Stock picks of the day: Nifty may trade in a 430 points range
29 Jul 2019,Infosys sets up cyber defence centre in Bucharest
25 Jul 2019,Infosys' board looks to stem high attrition: Report
23 Jul 2019,IBM study says average yearly cost of data breach in Indian companies close to Rs 13 crore
19 Jul 2019,Q1 results analysis: Digital is the only way forward for IT firms
16 Jul 2019,Hold Infosys; target of Rs 845: ICICI Direct
15 Jul 2019,"Infosys, TCS, 14 other Indian firms see climate change risks in 5 yrs"
15 Jul 2019,Accumulate Infosys; target of Rs 782: Prabhudas Lilladher
15 Jul 2019,Buy Infosys; target of Rs 840: Sharekhan
15 Jul 2019,Buy Infosys; target of Rs 840: Motilal Oswal
15 Jul 2019,"Infosys: Great start to the year, a strong buy"
12 Jul 2019,High attrition continues to haunt Infosys
12 Jul 2019,"Infosys net profit down 6.8% QoQ, albeit beats Q1 estimates - here are the top 10 takeaways"
12 Jul 2019,"Infosys Consolidated June 2019 Net Sales at Rs 21,803.00 crore, up 13.98% Y-o-Y"
12 Jul 2019,"Infosys Standalone June 2019 Net Sales at Rs 19,131.00 crore, up 12.17% Y-o-Y"
12 Jul 2019,"Infosys Q1 profit falls 6.8%, raises FY20 constant currency revenue guidance to 8.5-10%"
12 Jul 2019,Infosys to announce earnings on July 12; here are 5 key things to note
08 Jul 2019,"Infosys Q1 PAT may dip 11% QoQ to Rs. 3,630.6 cr: Kotak"
25 Jun 2019,Shareholders raise concerns over incentives to top Infy management
24 Jun 2019,"Panaya, Skava still a thorn in Infosys€™ side"
14 Jun 2019,Infosys to announce Q1 results on July 12
10 Jun 2019,Infosys sets up experience design & innovation studio in London
28 May 2019,Infosys completes formation of strategic partnership with ABN AMRO in the Netherlands
24 May 2019,Infosys completes acquisition of 75% stake in ABN AMRO Bank subsidiary Stater
23 May 2019,Sell Infosys; target of Rs 700: Dolat Capital
20 May 2019,Rs 24.67 crore - Infosys CEO Salil Parekh's salary for FY19
16 May 2019,Infosys to allocate 50 mn shares to incentivise employees
15 May 2019,How HCL Tech balances its organic and inorganic strategy will determine its growth
15 May 2019,Moneycontrol Special on hiring trends - Part 2 | Rise in overseas hiring may be a blessing in disguise for IT companies
09 May 2019,Exclusive | AdiGro Aviation to bid for Jet Airways; wants to partner Etihad to revive airline
16 Apr 2019,Buy Infosys; target of Rs 805: ICICI Direct
16 Apr 2019,Hold Infosys; target of Rs 761: KR Choksey
16 Apr 2019,Hold Infosys; target of Rs 735: Nalanda Securities
16 Apr 2019,Accumulate Infosys; target of Rs 849: Arihant Capital
15 Apr 2019,Infosys to roll out incentive scheme for staff with digital skills
15 Apr 2019,Buy Infosys; target of Rs 840: Sharekhan
15 Apr 2019,Accumulate Infosys; target of Rs 782: Prabhudas Lilladher
15 Apr 2019,Sell Infosys; target of Rs 700: Dolat Capital
15 Apr 2019,Ideas for Profit | Infosys or TCS €” Where should you invest your money?
14 Apr 2019,"Narrowing of margins, revenue growth differential augurs well for Infosys, TCS€™ RoE pegged at 34.8% in FY20"
12 Apr 2019,"Investments on digital, compensation, localisation will continue to weigh on FY20 margin, says Infosys CEO"
12 Apr 2019,Infosys likely to see knee-jerk reaction on Monday; 10 key takeaways from Q4 results
12 Apr 2019,"Infosys Consolidated March 2019 Net Sales at Rs 21,539.00 crore, up 19.11% Y-o-Y"
12 Apr 2019,"Infosys Standalone March 2019 Net Sales at Rs 18,935.00 crore, up 18.46% Y-o-Y"
12 Apr 2019,"Infosys Q4: PAT up 13%, company lowers growth guidance for FY20"
11 Apr 2019,Infosys Q4 preview: Brokerages expect dollar revenue growth of 2-2.5%
10 Apr 2019,"CLSA expects Infosys to post 2% CC revenue growth, secure deals worth $2bn in Q4"
04 Apr 2019,"Infosys Q4 PAT seen up 16.4% QoQ to Rs. 4,199.7 cr: Prabhudas Lilladher"
04 Apr 2019,"Need greater synergy between Indian companies and startups, says Mohandas and Siddarth Pai"
04 Apr 2019,"Infosys Q4 PAT may dip 1.6% QoQ to Rs. 3,863.7 cr: Kotak"
29 Mar 2019,Accumulate Infosys; target of Rs 804: Prabhudas Lilladher
28 Mar 2019,What Infosys is doing to keep pace with the digital revolution
28 Mar 2019,Infosys to acquire 75% stake in ABN AMRO Bank subsi for 127.5 mn euros
22 Mar 2019,Infosys to invest $10 mn in California-based The House Fund II
20 Mar 2019,"Top buy and sell ideas by Sudarshan Sukhani, Mitessh Thakkar, Prakash Gaba for short term"
18 Mar 2019,Infosys shareholders approve reappointment of Kiran Mazumdar-Shaw as independent director; 7.7% dissent votes
15 Mar 2019,"US Court dismisses visa fraud lawsuit against Infosys, Apple"
25 Feb 2019,Infosys launches new offerings to help enterprises tap into 5G technology
19 Feb 2019,IT sector to see strong earnings growth in 2019; Infosys and HCL Tech top bets: CLSA
18 Feb 2019,"Infosys settles case with Sebi, pays Rs 34 lakh towards settlement"
06 Feb 2019,Narayana Murthy: 4 steps India needs to take to become $10 trillion economy
04 Feb 2019,"Buy Infosys, target Rs 784: Rajesh Palviya"
30 Jan 2019,HCL Tech's results positive but acquisition an area of concern: Edelweiss
21 Jan 2019,Transcript| Infosys Q3 FY19 Earnings Conference Call
21 Jan 2019,"Technical View | Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term"
15 Jan 2019,Buy Infosys; target of Rs 780: ICICI Direct
14 Jan 2019,Buy Infosys; target of Rs 840: Dolat Capital
14 Jan 2019,Accumulate Infosys; target of Rs 800: Arihant Capital
14 Jan 2019,Buy Infosys; target of Rs 840: Sharekhan
14 Jan 2019,Buy Infosys; target of Rs 810: Prabhudas Lilladher
14 Jan 2019,Buy Infosys; target of Rs 800: Motilal Oswal
14 Jan 2019,Buy Infosys; target of Rs 800: HDFC Securities
14 Jan 2019,"Ideas for Profit | Infosys: Payout limits downside, buy as the stock closes valuation gap with leader"
14 Jan 2019,"Infosys Q3 review: Should you buy, sell or hold the stock?"
11 Jan 2019,"Infosys Consolidated December 2018 Net Sales at Rs 21,400.00 crore, Up 20.27% Y-o-Y."
11 Jan 2019,"Infosys Standalone December 2018 Net Sales at Rs 18,819.00 crore, up 20.4% Y-o-Y"
11 Jan 2019,Infosys Q3 profit falls 12%; FY19 CC revenue growth forecast raised to 8.5-9%; buyback approved
11 Jan 2019,"Infosys Q3 PAT seen up 3.5% QoQ to Rs. 4,252.9 cr: ICICI Direct"
11 Jan 2019,"Infosys Q3 PAT seen up 4.4% QoQ to Rs. 4,291.4 cr: Prabhudas Lilladher"
10 Jan 2019,Infosys to announce Q3 earnings on Jan 11; Here's what brokerages are expecting
08 Jan 2019,"Infosys to discuss share buyback, special dividend at January 11 board meet"
08 Jan 2019,Yet another top-level executive quits Infosys
08 Jan 2019,IT firms expected to deliver strong Q3 earnings; slowdown in US could be a risk
04 Jan 2019,CIMB expects top 5 IT firms to report 1.5€“4.8% QoQ revenue growth in constant currency in Q3
20 Dec 2018,Infosys appoints Nilanjan Roy as CFO
14 Dec 2018,"Buy Infosys, target Rs 745: Hadrien Mendonca"
14 Dec 2018,"Infosys forms JV with Hitachi, Panasonic, Pasona in Japan"
10 Dec 2018,"Buy Infosys, target Rs 735: Shabbir Kayyumi"
06 Dec 2018,"Infosys inaugurates new technology, innovation hub in US"
03 Dec 2018,"New H-1B proposal mixed bag for India, say experts"
26 Nov 2018,"Demand for analytics high but nearly 76,000 vacancies unfulfilled: survey"
25 Nov 2018,"IT wrap: Companies to focus on BFSI, look for acquisition opportunities for growth"
21 Nov 2018,"Infosys to create 1,200 jobs in Australia, to set up 3 innovation hubs"
14 Nov 2018,"Infosys to open tech hub in Texas, hire 500 American workers by 2020"
12 Nov 2018,Infosys Q2 FY€™19 Earnings Conference Call
24 Oct 2018,"Wipro reports 10% decline in Q2 net profit, names Arundhati Bhattacharya as Independent Director"
24 Oct 2018,"Infosys Finacle, R3 announce partnership for blockchain solutions"
18 Oct 2018,Buy Infosys; target of Rs 790: Prabhudas Lilladher
18 Oct 2018,Hold Infosys; target of Rs 753: Arihant Capital
18 Oct 2018,Earnings: Infosys' margin concerns cloud its performance vs TCS
18 Oct 2018,Buy Infosys; target of Rs 810: JM Financial
18 Oct 2018,Buy Infosys; target of Rs 800: ICICI Direct
17 Oct 2018,Buy Infosys; target of Rs 800: Motilal Oswal
17 Oct 2018,Infosys Q2 FY19 review: Steady execution; an ideal long term buy
16 Oct 2018,"Infosys retains annual forecast despite strong Q2, 'comfortable outlook'"
16 Oct 2018,"Infosys net profit rises to Rs 4,110 crore; top 10 takeaways from Q2 results"
16 Oct 2018,"Infosys Consolidated September 2018 Net Sales at Rs 20,609.00 crore, up 17.32% Q-o-Q"
16 Oct 2018,"Infosys Standalone September 2018 Net Sales at Rs 18,297.00 crore, up 19.15% Q-o-Q"
16 Oct 2018,"Infosys Q2 profit jumps 14% QoQ to Rs 4,110 cr, maintains FY19 margin guidance"
16 Oct 2018,"Infosys PAT likely to get a push on higher growth, margin expansion"
08 Oct 2018,Infosys announces Rs 1.5 cr reward to push innovation in social work
03 Oct 2018,Moody's assigns A3 rating with stable outlook to Infosys
03 Oct 2018,"HSBC increases target on IT companies, sees a decent Q2 earnings"
03 Oct 2018,"Buy Infosys, target Rs 850: Ashish Chaturmohta"
03 Oct 2018,Looking for momentum plays? Top 5 stocks which could give 7-13% return in 1-2 months
25 Sep 2018,Infosys deploys digital banking solution at Australian Military Bank
23 Sep 2018,Call back ex-Infy board's remuneration to pay back Rajiv Bansal: Whistle-blower writes to SEBI
21 Sep 2018,Infosys partners Google Cloud to develop 'Data Native Intelligent Enterprise'
21 Sep 2018,"Infosys to open technology, innovation hub in Arizona; hire 1,000 people by 2023"
19 Sep 2018,Rajiv Bansal files caveat in civil court against Infosys
18 Sep 2018,Infosys loses arbitration over severance package to ex-CFO; asked to pay Rs 12.17 crore
17 Sep 2018,Infosys doubles investment in US-based TidalScale to $3 million
17 Sep 2018,Buy Infosys; target of Rs 840: Sharekhan
12 Sep 2018,"10 years later, here are 4 lessons from Lehman's collapse"
10 Sep 2018,"Infosys, Australian Open announce strategic technology partnership"
07 Sep 2018,Buy Infosys with near term target of Rs 840: Shailendra Kumar
07 Sep 2018,"Infosys, Temasek announce joint venture in Singapore, name Shveta Arora CEO"
04 Sep 2018,"Infosys CEO addresses fears of attrition, senior-level exits: Report"
23 Aug 2018,"Hired more than 4,700 Americans since 2017 : Infosys"
20 Aug 2018,"Infosys CFO exit gives CEO chance to execute strategy with new team, but high attrition a concern"
20 Aug 2018,Buy or sell: Top stock trading ideas by market experts which are good short term bets
13 Aug 2018,Infosys to build software development centre in West Bengal
29 Jul 2018,Infosys to invest Rs 750 cr in first phase of upcoming Noida facility
24 Jul 2018,Infosys links salaries of key personnel with digital revenue growth
20 Jul 2018,"Infosys places non-compete clause on CEO Salil Parekh's exit, talks of further write down of Panaya sale price"
17 Jul 2018,Infosys sees higher attrition at junior level
17 Jul 2018,Hold Infosys; target of Rs 1410: ICICI Direct
17 Jul 2018,Buy Infosys; target of Rs 1420: JM Financial
17 Jul 2018,Accumulate Infosys; target of Rs 1500: Dolat Capital
16 Jul 2018,Podcast | Infosys vs TCS Q1 results: Not a battle of equals
16 Jul 2018,Buy Infosys; target of Rs 1430: Prabhudas Lilladher
16 Jul 2018,Ideas for profit: Slow but steady growth is what's reassuring about Infosys' Q1 show
13 Jul 2018,"Infy Q1 uneventful, performance over next 2 quarters to chart direction, say analysts"
13 Jul 2018,Infosys Q1: IT major announces 1:1 bonus issue to mark 25 years since listing
13 Jul 2018,Infosys maintains FY19 guidance; here are 10 key takeaways from Q1 earnings
13 Jul 2018,"Infosys Q1 profit misses estimates, falls 2% to Rs 3,612 cr; Board approves bonus issue"
13 Jul 2018,"Infosys Q1 preview: BFSI performance, outlook keenly watched"
09 Jul 2018,Podcast | Deep Dive €” A foundation of conscientious growth: The Infosys story
05 Jul 2018,"Artificial Intelligence has reached era of consumerisation, says Infy co-founder"
03 Jul 2018,"Buy Infosys, target Rs 1450: Ashish Chaturmohta"
29 Jun 2018,"Buy Infosys, target Rs 1386: Hadrien Mendonca"
27 Jun 2018,Infosys to announce June-quarter results on July 13
25 Jun 2018,Whistleblower shots off letter to US SEC against Infosys
19 Jun 2018,Infy @ 25 years of listing; ex-CFO says NRN made it all happen
18 Jun 2018,This squad of 11 stocks may be the world beater with PM Modi as coach
01 Jun 2018,Infosys pledges to reduce plastic waste by 2020
31 May 2018,"Nilekanis, 3 PIOs billionaires pledge to donate more than half their wealth to charity"
15 May 2018,"Buy Infosys between Rs 1,185-1,195, target Rs 1,260: Aditya Agarwala"
15 May 2018,"Buy or sell: Top stock picks by Prakash Gaba, Nandish Shah for May 15"
11 May 2018,Ravi Venkatesan resigns as independent director of Infosys
07 May 2018,Former Infosys CEO Vishal Sikka says his artificial intelligence venture is in early stages
05 May 2018,Infosys CEO Salil Parekh to receive annual performance-linked equity grant worth Rs 13 cr
03 May 2018,Infosys may deny severance pay to Rajiv Bansal over data deletion
02 May 2018,"Infosys partners Astound for automated services, support for enterprises"
27 Apr 2018,"Infosys' new training center in US a game changer, says top executive"
24 Apr 2018,Buy Infosys; target of Rs 1330: Motilal Oswal
24 Apr 2018,Hold Infosys; target of Rs 1180: ICICI Direct
24 Apr 2018,CEO Salil Parekh wants three years to transform Infosys but analysts see nearly 20% upside in a year
23 Apr 2018,"Infosys eyes acquisitions, unveils three-pronged strategy to accelerate biz growth"
23 Apr 2018,Buy Infosys; target of Rs 1300: JM Financial
21 Apr 2018,"IT sector this week: Biggies report Q4 earnings, signal a turnaround in the sector"
20 Apr 2018,"Bullish on TCS, see 30% upside in FY19: Akash Jain"
18 Apr 2018,Markets await TCS Q4 earnings on April 19; Here's what to watch for
16 Apr 2018,Podcast | Infosys Q4 review: How the numbers stack up
16 Apr 2018,Hold Infosys; target of Rs 1110: ICICI Direct
16 Apr 2018,Sell Infosys; target of Rs 1150: Dolat Capital
16 Apr 2018,Buy Infosys; target of Rs 1169: Prabhudas Lilladher
16 Apr 2018,Buy Infosys; target of Rs 1290: Reliance Securities
16 Apr 2018,Buy Infosys; target of Rs 1419: Edelweiss
16 Apr 2018,Hold Infosys; target of Rs 1184: KR Choksey
16 Apr 2018,"Turbulent times for Infosys over, buy on declines: Akash Jain"
16 Apr 2018,"Global brokerages outlook mixed post Infosys Q4 earnings, Jefferies sees 34% upside"
14 Apr 2018,Whistleblower questions Infosys board on accountability for Panaya acquisition
13 Apr 2018,Infosys sees FY19 constant currency revenue growth at 6-8% but cuts margin guidance
13 Apr 2018,"Infosys net profit at Rs 3,690 crore; 10 key takeaways from Q4 results"
13 Apr 2018,Infosys puts up its subsidiaries Skava and Panaya for sale
13 Apr 2018,Infosys announces acquisition of US firm WongDoody Holding for $75 million
13 Apr 2018,"New Infosys CEO Parekh caps in-line FY18 by reversing Sikka's Panaya, Skava acquisitions"
13 Apr 2018,Infosys to announce Q4 earnings on April 13; Watch out for these 5 factors
11 Apr 2018,"Buy Infosys, target Rs 1,180: Sumit Bilgaiyan"
11 Apr 2018,"Buy Infosys, expect better EBIT margins in Q4FY18: Akash Jain"
03 Apr 2018,"Time to push €˜BUY€™ button on IT stocks? TCS, Infosys among 10 stocks in focus ahead of Q4 results"
28 Mar 2018,Buy Infosys; target of Rs 1345: Axis Direct
22 Mar 2018,Infosys invests $1.5 mn in Waterline Data Science
20 Mar 2018,Nandan Nilekani bats for PSB privatisation in taxpayers interest
16 Mar 2018,"Infosys to announce March quarter earnings, final dividend on April 13"
16 Mar 2018,Infosys to open technology & innovation hub in Connecticut
16 Mar 2018,"Infosys to consider March quarter results on April 13, 2018"
12 Mar 2018,"Buy United Spirits, Jubilant Foodworks, NIIT Technologies: Ashwani Gujral"
09 Mar 2018,Betting on tech theme? Top 4 stocks which investors could add in their portfolio
08 Mar 2018,"Buy Infosys; short BPCL, M&M Financial Services: Sudarshan Sukhani"
06 Mar 2018,"News highlights of the day: Claiming rights without duties is against democratic values, says PM Modi"
01 Mar 2018,"Buy Infosys, Ceat; sell HDFC, M&M Financial Services: Chandan Taparia"
01 Mar 2018,"Nifty likely to open flat to negative around 10,460; to remain stuck between 10410-10540: Stewart & Mackertich"
01 Mar 2018,"Nifty likely to open flat to negative around 10,460; to remain stuck between 10410-10540: Stewart & Mackertich"
21 Feb 2018,N Chandrasekaran will take decisions that are best for Tata Group: NRN Murthy
20 Feb 2018,"Infosys, PTC launch centre for industrial IoT"
16 Feb 2018,"Buy Infosys, Hindalco Industries; sell BHEL: Chandan Taparia"
08 Feb 2018,"Buy Infosys, Yes Bank, Kotak Mahindra Bank: Ashwani Gujral"
05 Feb 2018,"Buy Infosys, DLF, hold Dabur; sell Engineers India: Sudarshan Sukhani"
24 Jan 2018,"Buy Infosys, TCS, Mphasis, Polaris, Tata Elxsi, Mindtree; sell Bharti Airtel: Ashwani Gujral"
22 Jan 2018,News highlights of the day: 'India's Osama' mastermind of 2008 Gujarat blasts arrested
22 Jan 2018,Startups will flourish if regulations are eased: V Balakrishnan
22 Jan 2018,Infosys selected as tech partner by A S Watson Group
18 Jan 2018,Buy Infosys; target of Rs 1345: Axis Direct
17 Jan 2018,Winning large deals key for IT companies in 2018: V Balakrishnan
17 Jan 2018,"Sell PNB, HPCL; buy Hexaware, Infosys, Jubilant Foodworks, Sun Pharma: Sudarshan Sukhani"
16 Jan 2018,News highlights of the day: AirAsia India says no plans to look at Air India stake
15 Jan 2018,Hold Infosys; target of Rs 1110: ICICI Direct
15 Jan 2018,Accumulate Infosys; target of Rs 1187: KR Choksey
15 Jan 2018,Buy Infosys; target of Rs 1240: Reliance Securities
15 Jan 2018,Buy Infosys; target of Rs 1220: Prabhudas Lilladher
15 Jan 2018,News highlights of the day: AirAsia India to resume Chennai operations from next month
15 Jan 2018,Continue to be cautious on Infosys; target at Rs 1060: Elara
13 Jan 2018,"Salil Parekh congratulates Infoscions on strong Q3, asks them to stay focused"
13 Jan 2018,"Salil Parekh congratulates Infoscions on strong Q3, asks them to stay focused"
13 Jan 2018,Accumulate Infosys; target of Rs 1238: Arihant Capital
12 Jan 2018,Digital now a critical element of the market: Infosys CEO
12 Jan 2018,Buy Infosys; target of Rs 1250: Motilal Oswal
12 Jan 2018,Infosys to release future roadmap in April: CEO Salil Parekh
12 Jan 2018,Buy Infosys; target of Rs 1150: JM Financial
12 Jan 2018,Buy Infosys; target of Rs 1265: Edelweiss
12 Jan 2018,"Infosys Q3 profit jumps 38% on tax reversal; maintains FY18 revenue, EBIT margin guidance"
12 Jan 2018,"Hold Infosys, says Avinnash Gorakssakar"
11 Jan 2018,"News highlights of the day: Fingerprint, iris data in Aadhaar are safe, secure: Ravi Shankar Prasad"
11 Jan 2018,Infosys to announce Q3 earnings on Friday; here are 5 key things to watch out
10 Jan 2018,Analysts rating mixed on Infosys but are positive post APA agreement with US IRS
10 Jan 2018,"News highlights of the day: A Raja slams Manmohan Singh, calls Vinod Rai 'sutradhaar' of 2G case"
10 Jan 2018,"Buy, Sell, Hold: 6 stocks and 2 sectors on analysts radar on January 10"
10 Jan 2018,"Infosys signs APA with US, gets $225 mn tax reversal"
09 Jan 2018,Buy Infosys; target of Rs 1200: Motilal Oswal
09 Jan 2018,"Buy Infosys, DHFL, Interglobe Aviation, M&M, South Indian Bank; sell Andhra Bank: Sudarshan Sukhani"
08 Jan 2018,CLSA raises target price on Infosys ahead of Q3 results to Rs 1230; sees 21% upside
04 Jan 2018,News highlights of the day: BSE & NSE ask members to trade cautiously in 200 illiquid stocks
04 Jan 2018,Infosys Partners with ValGenesis to further enable digitisation in Life Sciences
04 Jan 2018,Infosys CEO Salil Parekh will be paid a fixed salary of Rs 6.5 crores
03 Jan 2018,New Infosys CEO Salil Parekh's challenges and his message to employees
03 Jan 2018,"IDFC overweight on Indian IT services; initiates Outperformer on TCS, Infosys, Tech Mahindra"
01 Jan 2018,Salil Parekh takes over as Infosys CEO and MD on Tuesday
29 Dec 2017,"See upside in Infosys, says Ashwani Gujral"
29 Dec 2017,Why entry level salaries for IT firms will remain low €“ with or without the €˜cartel€™
27 Dec 2017,IT companies formed cartel to keep entry-level salary low: Mohandas Pai
24 Dec 2017,Infosys looks to reboot under new CEO after stormy 2017
24 Dec 2017,From GST to IBC: Key events which shaped the markets in 2017
22 Dec 2017,"Chidambaram, Murthy spar over Aadhaar"
19 Dec 2017,"Balakrishnan pitches for Nilekeni, NRN or Premji for CIO post"
14 Dec 2017,"Exit Infosys, says Vijay Chopra"
14 Dec 2017,Book profits in Infosys: Rajat Bose
14 Dec 2017,Infosys to announce Q3 results on January 12
14 Dec 2017,"News Highlights: HDFC Bank to consider raising funds via QIP, share sale to HDFC"
11 Dec 2017,Infosys re-investigation found no wrongdoing in Rajiv Bansal severance pay case: Kiran Mazumdar-Shaw
11 Dec 2017,"Infosys severance pay plea: Matter of legality for SEBI, not emotions: Ex-CFO"
11 Dec 2017,News highlights of the day: New York mayor says explosion at bus terminal was attempted terror attack
10 Dec 2017,"Infosys' settlement move with SEBI is fine, says former Infy CFO Mohandas Pai"
08 Dec 2017,"N R Narayana Murthy's stand vindicated, so apologise to him: Pai tells Infosys"
06 Dec 2017,Infosys submits settlement application with SEBI over Rajiv Bansal's severance pay
05 Dec 2017,"Buy Infosys, Havells India, Mahanagar Gas, Bosch; sell Capital First:  Sudarshan Sukhani"
05 Dec 2017,Salil Parekh takes charge: Will he continue with Vishal Sikka's vision for Infosys?
04 Dec 2017,Hold Infosys; target of Rs 1020: ICICI Direct
04 Dec 2017,Analysts hail appointment of Salil Parekh as Infosys' MD & CEO
04 Dec 2017,Should minority shareholders be excited about the new Infosys boss?
04 Dec 2017,"Underweight on largecap IT; have sell rating on Wipro, Infosys & TCS: Karan Taurani"
04 Dec 2017,Salil Parekh's appointment is a positive development for Infosys: Expert
04 Dec 2017,Infosys rallies as Board appoints new CEO & MD Salil Parekh; could rally up to 15% in 1 year
04 Dec 2017,News highlights of the day: Fitch Ratings cuts India FY18 growth forecast to 6.7%
03 Dec 2017,"Salil Parekh right choice for top job at Infosys, say IT experts"
03 Dec 2017,Infosys stock could open 2-4% higher Monday on appointment of new CEO & MD Salil Parekh
02 Dec 2017,"5 things to know about Salil Parekh, Infosys' new CEO"
30 Nov 2017,"News highlights of the day: I-T dept conducts searches on K Raheja Group companies, including Shoppers Stop"
27 Nov 2017,"Infosys to set up innovation hub in Rhode Island, hire 500 American workers"
23 Nov 2017,Pravin Rao likely to continue as Infosys CEO: Sources
23 Nov 2017,"News Live: Modi's government like Manmohan Desai's films, says Sitaram Yechury"
18 Nov 2017,Increase your return by changing weightage of stocks; Try Portfolio Optimisation
16 Nov 2017,"Nandan Nilekani, Bill Gates announce formation of 'Co-Impact'"
15 Nov 2017,"All is well in Infosys, says Narayana Murthy"
08 Nov 2017,"Infosys to open innovation hubs in the US, Nilekani    "
08 Nov 2017,"News as-it-happened: Jayant Sinha says Paradise Papers are ""completely bogus"""
07 Nov 2017,"Infosys, Adecco Group redefine future of staffing"
07 Nov 2017,"BG Srinivas, Ashok Vemuri in race for Infosys CEO position: Report"
03 Nov 2017,Infosys deploys more people in states to ease GSTN load
03 Nov 2017,Ashok Vemuri in contention for Infosys CEO role; Will he return to Infy?
02 Nov 2017,Buy Infosys; target of Rs 1200: Axis Direct
30 Oct 2017,"Infosys buyback: October 30, last day to participate"
27 Oct 2017,Infosys 'rationalises' employment contracts for top executives
26 Oct 2017,Hold Infosys; target of Rs 1000: Sharekhan
26 Oct 2017,Accumulate Infosys; target of Rs 1070: Prabhudas Lilladher
26 Oct 2017,Buy Infosys; target of Rs 1100: Motilal Oswal
26 Oct 2017,Hold Infosys; target of Rs 955: ICICI Direct
25 Oct 2017,Hold Infosys; target of Rs 1010: Edelweiss
25 Oct 2017,Remain cautious on technology in general & on Infosys: Girish Pai
25 Oct 2017,Infosys Q2 results: Focus shifts back to business
24 Oct 2017,Nandan Nilekani says Infosys will focus on strategy execution going forward
24 Oct 2017,"'Sadly, will no longer know the truth': Murthy says after Infosys issues corporate governance clean chit"
24 Oct 2017,"Post Infosys results, praise for Vishal Sikka, questions for Murthy"
24 Oct 2017,Infosys likely to open lower on Wednesday; top 10 takeaways from Q2 results
24 Oct 2017,"Panaya deal given clean chit, ex-CFO severance could€™ve been handled better: Infy Board"
24 Oct 2017,"Infosys Q2 profit rises 7%, FY18 constant currency revenue guidance cut to 5.5-6.5%"
23 Oct 2017,"2018 will be a better year for Indian IT, say industry figures"
23 Oct 2017,Infosys to announce Q2 earnings on Tuesday; here's what to expect
17 Oct 2017,"Infosys to announce Q2 results on October 24, 2017"
12 Oct 2017,Infosys Q2 PAT may dip 0.1% QoQ to Rs. 3479.8 cr: Kotak
11 Oct 2017,"Infosys' Rs 13k cr buyback: Good time to buy with up to 25-30% return, says HDFC Sec"
09 Oct 2017,"Infosys fixes Nov 1 as record date for Rs 13,000-cr buyback"
04 Oct 2017,"Infosys bags deal from KONE, to set up Helsinki design centre"
25 Sep 2017,Buybacks in small and midcap companies under taxman€™s lens: Sources
25 Sep 2017,"Remain invested in Infosys, says Gaurang Shah"
