Headlines,Labels
"key factor for sbi's q3 earnings, net see up 11%",1
check out: super six chart pick for the day,0
buy state bank of india; target of rs 341: prabhudas lilladher,0
"sp tulsian's view on sbi, mahanagar gas, igl, uttam galva",1
jet airways lenders turn to ibc as last resort,0
sbi have support at rs 3000: thukral,1
"buy dlf, colgate palmolive; axis bank can head higher: sukhani",1
differential rat not discriminatory: sbi,1
sbi revise base rate and benchmark prime lend rate,0
try to help revive kingfisher: sbi,1
prefer largecap bank stocks: kulkarni,0
top 10 stock to be watch out for today,1
associate bank to soon submit report on amalgamation to rbi,0
sbi still look weak: jai bala,0
"buy asian paints, sbi, maruti suzuki: ashwani gujral",0
"sell union bank, engineer india; buy cairn: ashwani gujral",1
sbi launch debit card-less instant money transfer facility,1
"sbi q3 pat see down 26% to rs 2,500 cr, asset quality key",1
"hold state bank of india, advise shahina mukadam",0
buy state bank of india; target of rs 400: icici direct,1
"sbi, niif join hand to provide greater thrust to infra finance",1
sbi have target of rs 2000: morgan stanley,0
buy state bank of india; target of rs 355: prabhudas lilladher,1
sbi's change in designation,1
"grit, gut and gumption: how sbi transform itself",1
bob cut home loan rat by 0.25% for old and new customers,1
sbi say roadshow for overseas bond sale from monday,0
kingfisher airlines need to raise $1bn by nov 30: sbi,0
hold state bank of india: bhambwani,0
"avoid state bank of india, advise sudarshan sukhani",1
"buy sbi, jet airways, aurobindo pharma: ashwani gujral",0
"buy reliance comm on every dip, say sukhani",1
"sell pc jeweller, icici bank, tata steel: ashwani gujral",1
reliance ind have good support at rs 875- 900 mark: baliga,0
sbi aim to eliminate debit card,1
sbi chief say mergers can reduce psbs' need for govt capital,1
invest in sbi: sharmila joshi,0
sbi say bankruptcy code can't solve all problems for bank,1
sbi hike rat on short-to-medium term fix deposit by up to 25 bps,0
kerela government reiterate objection in sbt-sbi merger,1
buy state bank of india: motilal oswal,1
credit cost expect to be below 60 bps in fy17: indusind bank,1
back to normal: rbi put up long-term govt bond for sale,1
essar oil in talk with sbi for $1.2bn loan,1
"sell sbi, buy hdfc bank: sudarshan sukhani",1
sbi right issue decision in 15 days: r gopalan,1
icici bank a good bet in bank space: sukhani,0
standard charter allege vijay mallya collude with bankers,0
"sbi plan to raise rs 5,000 cr via long-term bond",1
"pick aurobindo pharma, tech mahindra: prakash gaba",1
dipan mehta underweight on psu bank,1
buy state bank of india; target of rs 375: motilal oswal,1
"ashoka buildcon unit raise usd 150mn from sbi, macquarie",1
qatar airways offer up to 15% discount on sbi card,1
sbi win 2 iba award,1
merger of associate not under active consideration: sbi,1
10 expert moneymaking ideas that may return up to 13% in next 1-2 months,1
will policy shift to reverse repo lead to lend rate cut,1
"sbi to raise up to rs 11,100 cr via perpetual debt",1
buy sbi 3150 call around rs 50: vk sharma,1
"buy ntpc 175 call, advise amit gupta",0
"keep icici bank, psu bank in portfolio: sandip sabharwal",1
axis bank cut home loan rat to an industry low of 8.35% for all customers,0
"buy sbi 2200 put, say siddharth bhamre",1
vijay mallya ready to pay rs 4000 crore to lenders by september,1
here be top 10 stock to focus on february 24,1
sbi look weak: thacker,0
sbi's operational number be disappointing: macquarie,1
"essar oil complete sale of india assets to rosneft, trafigura-ucp consortium for $12.9 bn",1
"sbi slash interest rat on car, consumer goods loan",0
"buy federal bank, positive on sbi from psu space: hdfc sec",0
indian bank on top of situation over npa problem: sbi chairman rajnish kumar,1
hold sbi for long term: hemen kapadia,1
"avoid psu banks, say manoj murlidharan",1
pay your shop bill via 1 lakh sbi point of sales,0
"sbi: safer bank stock to stay in, say badkar",0
psu bks post profit surprise in q1fy10; nii growth sluggish,1
short sbi at rs 1800: bhamre,0
sbi have target of rs 3550: gujral,1
"sbi change name & ifsc cod of nearly 1,300 branch - check if your branch be on the list",1
"prefer icici bank, sbi; positive on satin credit care: iifl",1
"buy sbi, target of rs 1468: motilal oswal",1
fm to meet select bankers in mumbai next week,1
"short sbi, hdfc bank: gopi suvanam",0
"go long in l&t finance holdings, sell sbi: rajat bose",1
"sell sbi, pnb, amara raja; buy infosys, tcs: ashwani gujral",1
state bank of india plan to increase yono user base to 250 million in two years,0
here be few stock trade ideas by mayuresh joshi,1
"prefer icici bank, axis bank: devang mehta",1
"see fall in home prices, clearance of inventory: sbi chairman rajnish kumar",1
expect upside in sbi: kunal saraogi,1
"sbi have resistance at rs 2250, say bothra",1
yuan devaluation be challenge; india can overcome: sbi head,0
"buy sbi, icici bank, tcs, infosys, sun pharma: vk sharma",1
"hold l&t, sbi: hemen kapadia",1
rbi take measure to revive corporate bond and cds market,1
state bank consolidation move slowly,1
"buy sbi, bpcl, tata steel: ashwani gujral",0
"govt to infuse rs 4000cr in sbi, say cfo",1
sbi have target of rs 2700: pankaj pandey,0
bank of india loan to airlines under rs 40 bn,0
buy sbi for long term: sudarshan sukhani,0
"prefer sbi, icici bank: mayuresh joshi",1
nhai to ink mou with sbi for rs 25k cr loan,0
"exit sbi, say sp tulsian",1
"prefer canara bank, sbi to central bank: sekhar",1
buy state bank of india; target of rs 370: motilal oswal,1
sbi to cut loan rat to smes,1
sbi launch debit-cum-transit card for metro rail,0
sbi to sell 3-5% stake in general insurance jv in fy19,0
"buy state bank of india, icici bank, acc: manoj murlidharan",1
likely to see 70-75% slippage in rs 31k cr watchlist: sbi,1
rbi set up supervisory body for sbi and icici bank,1
"trade calls: sell ambuja cements, acc, buy godrej ind",0
sbi plan to hire merchant banker for sale of non-core assets,0
prefer sbi over icici bank: agarwal,0
buy sbi; target of rs 382: edelweiss,0
kingfisher submit flight schedule to dgca,1
"buy bajaj finance, sun tv network; sell sbi, pnb, boi, canara bank: ashwani gujral",0
sbi to function as normal on saturday,1
"stay with sbi, say vk sharma",1
"buy ultratech cement, sbi; sell upl: sudarshan sukhani",0
"buy sbi, exide industries: sukhani",1
sbi can test rs 2250-2300: iifl,0
deloitte analyse rbi's wilful defaulter norms amendments,1
"sbi: general meet on feb 26, 2015",1
buy sbi on dips: thacker,0
downside leave in sbi: saurabh mukherjea,0
state bank of mysore to raise rs 500 crore via right issue,0
"sbi may marginally go up, say amit trivedi",1
need to ensure infra projs' viability for restructuring:sbi,0
buy sbi for long term: sudarshan sukhani,1
hold state bank of india: indiabulls securities,1
check out: 5 stock ideas to liven up your trade,0
"prefer l&t, sbi, aurobindo pharma: shahina mukadam",1
"prefer icici bank, axis bank, dcb bank: mb mahesh",0
buy state bank of india; target of rs 310: icici direct,1
pnb extend low-rate home loan till december end,1
sbi raise $500 mn in 3-year dollar debt,1
"prefer tata motors, look at lloyd electric: prakash diwan",0
enter sbi around rs 2050-2075: thukral,0
"will target investments in energy, petro-chem, hydro power: rdif",1
indusind banks' gross yield one of highest among peer,1
buy sbi on dips: phani sekhar,1
"sbi, icici bank, hdfc bank top picks: r sreeshankar",1
"associates' merger to improve efficiency, aid financially: sbi",1
short sbi with rs 2800 stoploss: jai bala,0
"bull's eye: pick petronet lng, venkys, yes bank; short sbi",0
"top buy and sell ideas by ashwani gujral, sudarshan sukhani, mitessh thakkar for short term",1
prefer hdfc bank: sudarshan sukhani,1
stay with sbi: choksey,1
bank of baroda cut lend rate by 0.1%,0
"buy sbi, pnb on dip: baliga",0
"buy sbi, icici bank, reliance inds: deven choksey",0
stay away from bank space: abhijit paul,0
vaibhav agrawal positive on psu bank,1
prefer private sector banks: jagdish malkani,1
stress asset guidance could pinch axis bank today: prabhudas,0
"reduce state bank of india; target rs 1,750: emkay",0
sbi: outcome of executive committee central board meet,1
"see upside in state bank of india, say shahina mukadam",1
here be four private sector bank kotak be bullish on,1
"exit bajaj hindusthan, prefer banks: sudarshan sukhani",1
"overweight on sbi, like icici bank, axis bank: mb mahesh",1
yes bank qip get 6-7 large order from fiis: deutsche bank,1
don't expect change in interest rat in rbi policy tomorrow: sbi,1
quick recovery of $1.4bn kingfisher debt unlikely: sbi,1
"prefer hdfc bank, icici bank, sbi, sun pharma: dilip bhat",0
"state bank of india's q2 result on nov 13, 2013",0
fresh slippages rs 200 cr; to sell assets to cut npas: sbbj,0
"pick power grid, castrol, arvind: ak prabhakar",1
do rbi macroeconomic survey suggest a rate cut?,1
us investor t rowe price approach bombay hc over uti's ipo issue,1
"buy state bank of india; sell bata india, ceat: ashwani gujral",0
"no risk to long term, base rates; cd, cp rat to rise: sbi",0
"govt bank write off rs 81,683 cr loan in fy17",1
here be ajay bodke's top trade ideas,1
sbi may slip to rs 235-225: rajat bose,0
"like psu banks, include sbi: iv subramaniam",0
"mahindra lifespace, sbi to create platform on home finance",1
"sbi to hire 9,500 staff in fy13; key focus on retail biz",0
allahabad bank cut lend rate by 0.3%,1
look at private sector banks: parag thakkar,1
sbi right issue by fiscal end: chaudhuri,1
sbi group firm sell over 85 lakh share in kingfisher,1
"stay invest in sbi, say hemen kapadia",0
need rs 12k-17k crore in 2 yrs; see sign of revival: sbi,0
hold sbi; target of rs 3000: karvy stock broking,1
"sbi partner coca-cola, hccbpl to promote digital payment",1
sbi's atm revenue jump 47% to rs 310 cr in fy16,0
state bank of india plan to bid for ongc share,0
sell larsen & toubro; asian paint strong buy: rajat bose,1
buy bank stock on dips: dhawan,1
bull's eye: stock to buy today,1
sbi raise interest rate on bulk deposit by up to 1.5%,1
need to wait for further detail for npa resolution: sbi,1
"cash situation at atms improving, say sbi",1
"exit canara bank, buy sbi: sudarshan sukhani",0
"buy ajanta pharma on dips, sell psu banks: sudarshan sukhani",1
super six stock you can bet on march 14,0
"buy sbi, bank of baroda: ambareesh baliga",1
prefer private sector banks: sahil kapoor,1
"news highlights: offshore india funds, etfs pump in $6.5 bn in 2017",0
check out: top chart pick for august 25,1
buy sbi at around rs 215-220: sameet chavan,1
look at largecap psu banks: devang mehta,1
delay in sbi right issue due to quantum of funds: bhatt,1
vijay mallya: india wrong to sequester some assets in graft case,0
budget 2011 - development oriented: op bhatt,1
"short canara bank, andhra bank, ceat, irb infra: sukhani",0
icici bank hike base rate by 25 bps to 10%,0
personalisation and the change face of bank,1
ratnagiri gas & power still a standard asset: idbi,1
"short sbi, say prakash diwan",1
reliance may remain in rs 820-860 range: datta,1
equifax appoint hsbc's manish sinha as new india head,0
sbi card customer base grow to 50 lakh,1
"here be why tulsian bet on bank, metal stock",1
"sp tulsian negative on bank nifty, may touch 12300",1
"state bank of india report rs 19,808.10 cr profit for quarter end sep 2010",0
sbi to hike minimum balance for save a/c; hit 310 mn people,1
buy sbi; target of rs 3200: iifl,1
state bank of india an outperformer: sukhani,1
avoid psu bank stocks: dipan mehta,1
sbi seek mallya's arrest in kingfisher loan default case,1
equity dilution to aid hdfc bank۪s credit growth: idbi cap,0
"buy, sell, hold: 2 stock and 4 sectors be on analysts۪ radar on march 20, 2018",0
bank space outlook remain bleak in short term: mohindar,0
"sbi: notice of strike by ufbu on february 10 & 11, 2014",1
magicbricks q3 revenue up 43 pc at rs 37 cr,0
"buy sbi, union bk, positive on icici bank, hdfc bank: mehta",0
"buy sbi 260 call, dlf 120 call: chandan taparia",1
state bank of india plan dollar bond issue,1
"prefer kotak mahindra bank, target rs 800: amit gupta",1
"sell state bank of india, granules india; buy bharti airtel: mitessh thakkar",1
ease of bad debt-to-equity norms to help fight npas: sbi,1
"perfer sbi, icici bank to dhanlaxmi bank: sukhani",1
"sbi may test rs 172, icici bank rs 212-219: rajat bose",1
6 stock ideas to liven up your trade today,1
"buy state bank of india, say sudarshan sukhani",0
sbi-led consortium defer stake sale in adhunik power: source,1
salil sharma offer 5 short term trade pick,1
sbi take 3 of the 12 npas to bankruptcy court for resolution,1
"sbi at 4-yr low, brokerages cut target: how to trade it now",0
"buy sbi on dips, say mohindar",1
farm loan waivers upset credit discipline: sbi chairman,0
sbi deny search by cbi in 2g case,1
sbi: outcome of committee meet,1
dhfl trim lend rate to 9.55% for new borrowers,1
wide range of outcomes likely on bad loan front: barclays,0
"reliance capital may rally to rs 326, say anu jain",1
sandeep bhatia remain negative on bharti airtel,1
record india m&a finance stretch reach and debt level,1
"prefer pnb, sbi on long side: siddarth bhamre",0
"buy sbi, rcomm, maruti; sell asian paints: sandeep wagle",1
upside appear limit in banks: kapadia,1
"sell state bank of india, advise rahul mohindar",1
"hold sbi, say sharmila joshi",1
here be top 10 stock to focus on march 16,1
"invest in sbi, hdfc, say phani sekhar",0
"buy state bank of india on dips, say neeraj dewan",0
"sbi q1 profit may fall 13%; asset quality, provision key",0
"hold long position in sbi, say siddharth bhamre",0
"buy adani ports, sbi; short godrej ind: angel broking",0
"accumulate sbi around rs 2,150-2,200, advise agarwal",0
"add hdfc bank, icici bank, sbi, tcs: sudarshan sukhani",1
"buy state bank of india, say sudip bandopadhyay",1
"save rate cut by govt overdue, g-secs may open sub-7.5%: sbi",1
datta`s view on state bank of india,1
"sbi q3 beat estimates, pat up at rs 3263 cr",1
cash shortage problem to be resolve by april 20: sbi chief rajnish kumar,1
prefer state bank of india: rahul mohindar,1
demonetisation to impact nbfcs for next 3-4 months: macquarie,1
buy sbi 2300 call: jitendra panda,0
cash-for-loan scam: takru say sbi mds report by weekend,1
ifci to partially offload stake in tourism finance corp,0
hold sbi; target of rs 2800: icicidirect,0
"nbfc, bank favour sectors: sudarshan sukhani",1
"bull's eye: buy jp associates, acc, sbi; short coal india",1
see stress on banks' credit profiles; psus risky: experts,1
short psu banks: hemant thukral,1
govt doles out extra dealer commission in bond market,1
mobile payments to grow 200 fold in 7 yrs to $3k bn: bofa,1
uco bank revise lend rat base on marginal cost,1
why boi's padmanabhan be not optimistic of stress assets,1
buy yes bank on declines: lkp,0
do not see much downside in sbi: gupta,1
"sbi q1 result on august 10, 2012",1
"invest in banks, financial space on dips: dharmesh mehta",1
"buy state bank of india, union bank: mitessh thakkar",1
"buy infosys, maruti suzuki, icici bank: sukhani",1
tcs may slip to rs 955- 950: agarwal,1
go long in sbi: bhamre,1
"remain invest in sbi, say rajat bose",1
punjab national bank cut base rate by 25 basis point,0
recognize 50% of npas in asset quality review in q3: sbi,1
"buy sbi on declines, say rajesh agarwal",0
kfa case: decode implications of 'wilful defaulter' tag,1
sbi revise retail term deposit interest rat,1
sukhani upbeat on bank sector,1
"short sbi, say rahul mohindar",1
"sell icici bank on rise, expect rs 256: siddarth bhamre",0
lenders to kingfisher to sell its properties: sbi,0
upi and payment bank aren't comparable: sbi's rajnish kumar,1
"flipkart big shop days sale 2019: deal on realme 3 pro, google pixel 3, apple macbook air and others",0
"prefer bob, sbi, axis bank, dcb bank: nooresh merani",0
"govt to infuse rs 1,140 cr capital into allahabad, corp bk",0
"buy sbi, say vijay bhambwani",1
exit sbi before credit policy announcement: agarwal,1
exit sbi on upside: atul badkar,0
